root_label,time,method,model,cluster,marker_count,overlap_count,overlap_ratio,processed_genes
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,kmeans,logreg,14,75,15,0.2,"['apoc1.like', 'pltp', 'Xetrov90029035m', 'mmp3', 'nid2', 'fn1', 'cldn6.1', 'loc100497848', 'krt12', 'twsg1', 'fgf7', 'loc100497154', 'Xelaev18026267m.g', 'mxra5', 'Xelaev18043128m.g', 'krt12', 'sp9', 'fgf9', 'Xelaev18017960m.g', 'krt', 'lama1', 'krt5.7', 'megf6', 'msx1', 'fbn3', 'Xelaev18008610m.g', 'egfl6', 'vwde', 'frem2.1', 'efemp2', 'loc100488523', 'Xelaev18044182m.g', 'Xelaev18041553m.g', 'dlx5', 'loc100494515.like', 'cdc42ep3', 'krt', 'vwa2', 'serpinf1', 'mmp8', 'fabp3', 'optc', 'pmp22', 'cpa6', 'apcdd1', 'jchain', 'ucma', 'msx2', 'rspo2', 'ly6g6c', 'btg2', 'rspo2', 'aebp1', 'vcan', 'krt8', 'c3', 'esr.5', 'unc5b', 'tspear', 'sds', 'hey1', 'lum', 'ngfr', 'fgf7', 'fos', 'hmcn1', 'twsg1', 'slc25a5', 'ets2', 'hes9.2', 'loc100127750', 'Xetrov90018212m', 'dio3', 'robo4', 'Xelaev18038969m.g']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,kmeans,svm,14,75,12,0.16,"['pltp', 'c2orf40', 'lum', 'apoc1.like', 'Xelaev18001105m.g', 'loc100497848', 'Xelaev18003734m.g', 'ca2', 'loc100049121', 'Xetrov90029035m', 'fgf7', 'krt16', 'krt', 'Xelaev18026267m.g', 'Xelaev18002241m.g', 'Xelaev18045083m.g', 'fabp3', 'krt12', 'fgf9', 'ftmt', 'mxra5', 'col2a1', 'cpa6', 'loc100497154', 'vwde', 'fn1', 'Xetrov90011361m', 'Xelaev18017960m.g', 'Xelaev18019895m.g', 'cyp26a1', 'loc100488523', 'cxcl14', 'krt12', 'lrp1', 'Xelaev18043128m.g', 'egfl6', 'slc25a5', 'loc100494515.like', 'c3', 'fgf7', 'mmp3', 'rspo2', 'calm2', 'msx1', 'ctgf', 'nid2', 'ackr3', 'sp9', 'apoe', 'ptrf', 'cxcl8', 'rspo2', 'krt16', 'cpa6', 'msmb.3', 'crip1', 'aldoa', 'Xelaev18045052m.g', 'postn', 'krt', 'loc100127750', 'Xetrov90018123m', 'aldob', 'psap', 'msx2', 'c3orf52.like', 'pdgfd', 'atp6v0c', 'Xelaev18041553m.g', 'Xelaev18016080m.g', 'Xelaev18044182m.g', 'pmp22', 'ets2', 'hes3.3', 'jchain']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,kmeans,xgboost,14,75,8,0.10666666666666667,"['pltp', 'nid2', 'Xetrov90029035m', 'apoc1.like', 'lum', 'fn1', 'egfl6', 'krt12', 'c3', 'c2orf40', 'postn', 'mmp3', 'frem2.1', 'agr2', 'fgf7', 'mxra5', 'krt12', 'krt5.7', 'Xetrov90018123m', 'serpinb6', 'ly6g6c', 'Xelaev18026267m.g', 'sp9', 'rspo2', 'prss35', 'krt', 'loc100049121', 'loc100497848', 'twsg1', 'vwde', 'fos', 'loc100486730', 'neurl3', 'cttn.like.1', 'nif', 'rassf2', 'Xelaev18017960m.g', 'rab11fip1', 'Xelaev18017913m.g', 'fah', 'lep', 'ctsl', 'Xelaev18018612m.g', 'acan', 'pgam2', 'aebp1', 'loc733553', 'loc101732997', 'ccdc3', 'ucma', 'c8orf4', 'sfrp1', 'nkx3.1', 'uaca', 'pstpip1', 'rhcg', 'slc24a5', 'duox1', 'chrna7', 'scamp4', 'rbpms2', 'wdr72', 'Xelaev18018196m.g', 'rora', 'bcl2l10', 'scg3', 'Xelaev18018217m.g', 'map1a', 'loc100491594', 'sema7a', 'map1a.like', 'c15orf26', 'loc100491930', 'pkm', 'mespb']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,leiden,logreg,18,75,15,0.2,"['apoc1.like', 'fn1', 'krt16', 'krt16', 'frem2.1', 'pltp', 'Xetrov90029035m', 'krt5.7', 'krt', 'nid2', 'ly6g6c', 'bmp5', 'loc100127750', 'vcan', 'unc5b', 'krt12', 'mmp3', 'Xelaev18045649m.g', 'bmp2', 'lum', 'Xelaev18045052m.g', 'mmp19.like.2', 'lama1', 'Xelaev18007945m.g', 'megf6', 'Xelaev18038969m.g', 'sp9', 'cldn6.1', 'loc100497848', 'loc100490088', 'Xelaev18017960m.g', 'Xelaev18047430m.g', 'Xelaev18017913m.g', 'msx1', 'lpar3', 'efemp2', 'vwa2', 'fbn2', 'cxcl14', 'Xelaev18036372m.g', 'loc100497154', 'krt', 'fgfbp1', 'ackr3', 'slc25a5', 'rspo2', 'krt12', 'enpp2', 'rspo2', 'egfl6', 'mxra5', 'dlx2', 'Xelaev18008610m.g', 'cgref1', 'prss35', 'emx2', 'col27a1', 'vwde', 'fgf7', 'lamb2', 'Xetrov90018212m', 'Xetrov90011359m', 'lsp1', 'ccdc3', 'Xelaev18043128m.g', 'mmp8', 'tnc.like', 'loc100488523', 'aebp1', 'ftmt', 'tnn', 'fam83b', 'twsg1', 'pmp22', 'loc100494515.like']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,leiden,svm,18,75,7,0.09333333333333334,"['loc100049121', 'fn1', 'loc101734526', 'postn', 'Xetrov90018123m', 'krt', 'Xelaev18045083m.g', 'c2orf40', 'krt16', 'areg', 'ly6g6c', 'postn', 'ca2', 'bmp2', 'zswim4', 'c3', 'Xelaev18034081m.g', 'bmp5', 'loc100494945', 'krt19', 'nid2', 'ccdc3', 'rspo2', 'slc25a5', 'pltp', 'vwa2', 'mmp19.like.2', 'enpp2', 'Xelaev18003734m.g', 'loc100497103', 'efemp2', 'Xelaev18045649m.g', 'Xelaev18047861m.g', 'insig1', 'Xelaev18043128m.g', 'loc100494515.like', 'frem2.1', 'crip1', 'apoc1.like', 'Xelaev18002241m.g', 'ackr3', 'loc100494786', 'krt', 'abat', 'prss35', 'vcan', 'ptrf', 'loc101732997', 'Xelaev18017913m.g', 'krt16', 'Xelaev18008278m.g', 'loc100497848', 'col2a1', 'msx1', 'twsg1', 'mybph', 'msmb.3', 'entpd2', 'Xelaev18001105m.g', 'epyc', 'Xelaev18031834m.g', 'Xelaev18038892m.g', 'unc5b', 'esr.5', 'efemp1', 'nid1', 'sp9', 'npnt', 'c8orf4', 'cldn6.1', 'rspo2', 'Xelaev18045052m.g', 'cyp26a1', 'ngfr', 'slitrk6']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,leiden,xgboost,18,75,6,0.08,"['Xetrov90029035m', 'krt5.7', 'fn1', 'pltp', 'Xelaev18016080m.g', 'frem2.1', 'krt16', 'loc100049121', 'krt12', 'loc100497729', 'krt', 'Xetrov90018123m', 'mmp3', 'cpa6', 'nid2', 'tmem100', 'col5a3.like', 'loc101734526', 'col5a3.like', 'pzp', 'vwa2', 'atp6v0c', 'optc', 'fos', 'lama1', 'Xelaev18047430m.g', 'postn', 'apoe', 'krt', 'c2orf40', 'Xelaev18003734m.g', 'lpar3', 'mmp19.like.2', 'Xelaev18036372m.g', 'efemp2', 'krt16', 'apoc1.like', 'cldn6.2', 'Xelaev18045649m.g', 'cpa6', 'rab11fip1', 'loc100491594', 'mespb', 'mesp2', 'Xelaev18018612m.g', 'mespa', 'neurl3', 'fah', 'rhcg', 'rassf2', 'loc100486730', 'acan', 'nif', 'uaca', 'loc101734287', 'Xelaev18018196m.g', 'loc100491930', 'rora', 'reln', 'fgl2', 'ucma', 'ccdc3', 'loc101732997', 'Xelaev18017913m.g', 'lep', 'cttn.like.1', 'Xelaev18017960m.g', 'pstpip1', 'Xelaev18018009m.g', 'pkm', 'sema7a', 'rbpms2', 'c15orf26', 'scamp4', 'ctsl']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,louvain,logreg,21,75,17,0.22666666666666666,"['fn1', 'apoc1.like', 'krt5.7', 'Xelaev18036372m.g', 'nid2', 'krt16', 'krt16', 'frem2.1', 'mmp19.like.2', 'unc5b', 'Xetrov90029035m', 'vcan', 'Xelaev18047430m.g', 'krt12', 'krt', 'ly6g6c', 'vwa2', 'megf6', 'mmp3', 'lama1', 'lpar3', 'krt', 'Xelaev18045649m.g', 'krt12', 'bmp5', 'ftmt', 'pltp', 'Xelaev18045052m.g', 'Xetrov90011359m', 'sp9', 'rspo2', 'fbn2', 'fgf9', 'mmp8', 'loc100490088', 'msx1', 'fgf7', 'vwde', 'itgbl1', 'pmp22', 'Xelaev18038969m.g', 'rspo2', 'psap', 'fn1', 'cpa6', 'loc100497848', 'lum', 'btg2', 'prss35', 'fbn3', 'slc25a5', 'Xelaev18001105m.g', 'cldn6.1', 'ackr3', 'Xelaev18017960m.g', 'lamb2', 'serpinf1', 'tgfb2', 'dlx5', 'Xelaev18003734m.g', 'dlx2', 'pzp', 'cpa6', 'loc100497154', 'prss36', 'enpp2', 'c3', 'loc100494515.like', 'mxra8', 'Xelaev18026756m.g', 'fam83b', 'loc100491791', 'bmp2', 'hmcn1', 'tspear']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,louvain,svm,21,75,9,0.12,"['fn1', 'Xetrov90018123m', 'c2orf40', 'postn', 'ca2', 'Xelaev18045083m.g', 'postn', 'mmp19.like.2', 'Xelaev18036372m.g', 'nid2', 'unc5b', 'rspo2', 'cdc42ep3', 'slc25a5', 'megf6', 'krt5.7', 'loc101734526', 'nid1', 'bmp2', 'col1a2', 'atf3', 'loc100494945', 'loc100049121', 'vcan', 'jag1', 'krt', 'krt8', 'tac1', 'tnc.like', 'ctgf', 'prss36', 'Xelaev18040854m.g', 'krt12', 'c8orf4', 'Xelaev18034081m.g', 'krt16', 'tnc.like', 'fbn2', 'zswim4', 'fgf7', 'msx1', 'vwa2', 'rspo2', 'areg', 'col5a3.like', 'c3', 'loc100494515.like', 'cldn6.1', 'bmp5', 'c9', 'Xelaev18009504m.g', 'mybph', 'colgalt1', 'foxr1', 'ly6g6c', 'cpa6', 'Xelaev18045052m.g', 'apoe', 'hes3.3', 'itgbl1', 'bmp2', 'insig1', 'Xelaev18007945m.g', 'loc100497103', 'calm2', 'Xelaev18037602m.g', 'msmb.3', 'plac9', 'loc100127750', 'krt19', 'Xelaev18001105m.g', 'mxra8', 'msx2', 'cotl1', 'loc100490088']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",0,louvain,xgboost,21,75,10,0.13333333333333333,"['krt5.7', 'fn1', 'Xetrov90029035m', 'loc100049121', 'pltp', 'krt12', 'sp9', 'Xelaev18017960m.g', 'nid2', 'mmp3', 'frem2.1', 'Xetrov90018123m', 'c2orf40', 'gjb2', 'loc101734526', 'cpa6', 'mmp19.like.2', 'postn', 'krt', 'fgf7', 'atf3', 'fgf9', 'krt12', 'lpar3', 'krt16', 'lama1', 'ly6g6c', 'cdc42ep3', 'mxra5', 'vwa2', 'pdgfd', 'rspo2', 'lsp1', 'Xelaev18045649m.g', 'Xelaev18003734m.g', 'apoc1.like', 'Xelaev18036372m.g', 'optc', 'unc5b', 'megf6', 'efemp2', 'col5a3.like', 'rhcg', 'loc100491594', 'acan', 'mespa', 'rassf2', 'uaca', 'fah', 'rab11fip1', 'nif', 'loc100486730', 'neurl3', 'Xelaev18018612m.g', 'pgam2', 'mesp2', 'loc101734287', 'mespb', 'rbpms2', 'fgl2', 'ucma', 'ccdc3', 'loc101732997', 'Xelaev18017913m.g', 'lep', 'cttn.like.1', 'pstpip1', 'Xelaev18018009m.g', 'pkm', 'sema7a', 'rora', 'scamp4', 'loc100491930', 'ctsl', 'ctsh']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,kmeans,logreg,37,75,7,0.09333333333333334,"['apoc1.like', 'krt18', 'cldn6.1', 'Xelaev18026267m.g', 'frem2.1', 'vcan', 'krt16', 'Xetrov90029035m', 'cldn6.1', 'cldn6.2', 'bmp2', 'col14a1', 'krt', 'loc100490088', 'lama1', 'ets2', 'fn1', 'msx2', 'pltp', 'bambi', 'msx1', 'mmp8', 'loc100490088', 'mmp3', 'nid2', 'ackr3', 'igfbp2', 'apoe', 'egfl6', 'rbp1', 'dlx5', 'msx1', 'Xelaev18038148m.g', 'bhlha9', 'dlx5', 'cldn6.2', 'fras1', 'egfl6', 'Xelaev18022166m.g', 'krt16', 'lpar3', 'sp8', 'krt12', 'dlx3', 'c3', 'loc100127750', 'dkk1', 'net1', 'bmp4', 'enc1.2', 'bmp4', 'cpamd8', 'col14a1', 'fermt1', 'ablim3', 'dcn', 'fn1', 'Xelaev18007945m.g', 'dlx2', 'prdm1', 'lamb4', 'ly6g6c', 'mmp11', 'loc100497848', 'bmp7.1', 'ppp1r15a', 'itga2', 'Xetrov90028350m', 'dkk1', 'elf3', 'lrrn4cl', 'zswim4', 'id4', 'loc100494822', 'cxcl8']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,kmeans,svm,37,75,6,0.08,"['Xelaev18001106m.g', 'Xetrov90018123m', 'krt16', 'Xetrov90029035m', 'Xelaev18002241m.g', 'apoc1.like', 'timp.1', 'col11a1.like', 'ckm', 'sp8', 'Xelaev18045052m.g', 'Xelaev18045095m.g', 'hbg2', 'msx2', 'Xelaev18047430m.g', 'krt18', 'frem2.1', 'krt', 'nid2', 'postn', 'pltp', 'Xelaev18022166m.g', 'ogn', 'col14a1', 'lpar3', 'Xelaev18045307m.g', 'ets2', 'vit', 'mmp11', 'loc100049121', 'Xelaev18047462m.g', 'col1a2', 'Xelaev18047460m.g', 'myl1', 'cldn6.1', 'dlx5', 'Xelaev18026267m.g', 'mmp8', 'Xelaev18045649m.g', 'fabp3', 'mmp3', 'col1a1', 'loc100494945', 'lrrn4cl', 'c1qtnf3', 'vcan', 'Xelaev18009504m.g', 'Xelaev18021648m.g', 'loc100127750', 'elf3', 'frem2', 'col14a1', 'lama1', 'kpna2', 'Xelaev18022531m.g', 'net1', 'ereg', 'bmp2', 'Xelaev18007618m.g', 'krt19', 'fkbp1b', 'apoe', 'ablim3', 'dlx5', 'fras1', 'Xelaev18038148m.g', 'Xelaev18013503m.g', 'cldn6.1', 'fgf7', 'sdsl', 'c3', 'bcam', 'Xelaev18018009m.g', 'ackr3', 'rnasek']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,kmeans,xgboost,37,75,4,0.05333333333333334,"['Xetrov90029035m', 'apoc1.like', 'Xelaev18026267m.g', 'frem2.1', 'lpar3', 'col11a1.like', 'ogn', 'pltp', 'krt16', 'lama1', 'fras1', 'nid2', 'cldn6.2', 'Xetrov90018123m', 'dlx5', 'Xetrov90028350m', 'prss36', 'msx2', 'fn1', 'elf3', 'nell2', 'myf5', 'crabp1', 'Xelaev18018009m.g', 'sema7a', 'unnamed.L.3', 'rora', 'rbpms2', 'ctsl', 'ctsh', 'duox1', 'Xelaev18018196m.g', 'scg3', 'slc24a5', 'fgf7', 'loc100490291', 'map1a', 'map1a.like', 'ttll13', 'c15orf26', 'lta4h', 'loc100491930', 'loc100488087', 'pah', 'rhcg', 'hapln3', 'pstpip1', 'Xelaev18017960m.g', 'syt1.like', 'nts', 'phlda1', 'pdzrn4', 'cntn1', 'cav1', 'ptprb', 'atp6ap1.1', 'il17rel', 'lamb4', 'lyz', 'Xelaev18017743m.g', 'efcab10.like', 'reln', 'dcn', 'fgl2', 'gata3', 'acan', 'kera', 'net1', 'lep', 'odf3', 'cttn.like.1', 'epyc', 'Xelaev18017456m.g', 'eln2', 'pgam2']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,leiden,logreg,28,75,5,0.06666666666666667,"['apoc1.like', 'cldn6.1', 'bambi', 'krt18', 'cldn6.2', 'Xelaev18026267m.g', 'ly6g6c', 'ereg', 'krt12', 'egfl6', 'nid2', 'frem2.1', 'prss36', 'ets2', 'net1', 'loc101734526', 'mmp8', 'krt8', 'loc100127750', 'Xelaev18017960m.g', 'krt16', 'Xetrov90029035m', 'cpz', 'anxa2', 'Xelaev18045649m.g', 'egfl6', 'Xelaev18047430m.g', 'msx1', 'rdh10', 'timp.1', 'mmp3', 'dlx2', 'loc100049121', 'prdm1', 'bmp4', 'Xelaev18000469m.g', 'dlx5', 'twsg1', 'enc1.2', 'dlx3', 'igfbp2', 'Xetrov90028350m', 'loc100490088', 's100a11', 'apoe', 'lama5', 'cdc42ep3', 'Xelaev18007945m.g', 'lgals4', 'fn1', 'ctgf', 'Xelaev18029747m.g', 'lrrn4cl', 'bmp2', 'Xelaev18022166m.g', 'Xelaev18013503m.g', 'dlx3', 'ctgf', 'dlx5', 'Xelaev18010901m.g', 'frem2', 'hey1', 'c8orf4', 'Xelaev18038148m.g', 'rbp1', 'txn', 'bmp7.1', 'gng3', 'cpamd8', 'col14a1', 'loc100497390', 'slurp1l', 'mmp8', 'c9', 'edn1']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,leiden,svm,15,75,3,0.04,"['loc549413', 'emp1', 'col3a1', 'Xetrov90018123m', 'mmp8', 'krt12', 'krt18', 'fam83a', 'postn', 'Xelaev18022166m.g', 'ckm', 'loc100494786', 'Xelaev18016080m.g', 'tnip2', 'loc101734526', 'Xelaev18002241m.g', 'gamt', 'snai1', 'Xelaev18028574m.g', 'Xetrov90028350m', 'loc100494945', 'timp.1', 'fn1', 'Xelaev18009504m.g', 'clca3p.like', 's100z', 'myl1', 'krt19', 'Xelaev18026267m.g', 'Xelaev18013503m.g', 'ecm2.1', 'loc100491788', 'areg', 'col6a2', 'pltp', 'suclg2', 'htra4', 'bmp2', 'Xelaev18047430m.g', 'gpi', 'kera', 'hey1', 'prdm1', 'loc100489129', 'mmp3', 'Xelaev18007618m.g', 'itgb4', 'ctbs', 'fermt1', 'slurp1l', 'loc100127564', 'fras1', 'bambi', 'loc100488540', 'rdh10', 'cald1', 'loc100170419', 'ptgs2', 'nid2', 'bmp4', 'Xelaev18034626m.g', 'Xetrov90028350m', 'ctgf', 'Xelaev18000469m.g', 'apoc1.like', 'prss36', 'nmral1', 'Xelaev18016074m.g', 'ptgs1', 'klf2', 'timp.1', 'ppp1r3c.2', 'dlx2', 'krt8', 'col4a5']"
